
[2013-05-18 07:26:05.333491] [SMELL] Object does not fit within bounds. (pos=(-3, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.340461] [SMELL] Object does not fit within bounds. (pos=(-4, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.347830] [SMELL] Object does not fit within bounds. (pos=(-5, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.354418] [SMELL] Object does not fit within bounds. (pos=(-6, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.361511] [SMELL] Object does not fit within bounds. (pos=(-7, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.369881] [SMELL] Object does not fit within bounds. (pos=(-8, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.378683] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.385646] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.392424] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.398831] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.405294] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.412352] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.421872] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.431954] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.441283] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.448341] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.457032] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.466578] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
